"business_trading_name","category","suburb","state","post_code","phone_number","email","ABN","logo","first_name","last_name"
"A&S Concreting services","Footpaths","GRANDCHESTER","QLD","4340","0411 329 790","aandsservices@hotmail.com","11891640704","","Shaun","Dimitrov"
"A Working Dog Earthmoving","Excavation","Ebenezer","QLD","4340","0401 331 948","jack@aworkingdog.com.au","32424580293",""," ",""
"C&B Timbers Pty Ltd","Timber Flooring Suppliers","Mount Forbes","QLD","4340","0447 265 387","sales@cbtimbers.com","68121190618",""," ",""
"Chambers Glass Pty Ltd","Glass & Glazing","Grandchester","QLD","4340","0429 095 895","johnny@chambersglass.com.au","29162785239",""," ",""
"Handy Little Tipper service","Rubbish Removal","Rosewood","QLD","4340","0432 349 388","handylittletipperservice@gmail.com","39659057500","","Mark Thomas","Bales"
"Hard Yakka Lawn and Garden Care","Garden Maintenance","Rosewood","QLD","4340","0412 579 250","mark.hardyakka@gmail.com","24284346296",""," ",""
"Horseshoe Earthworks","Bobcat","Mt Forbes","QLD","4340","0431 917 417","horseshoe.earthworks@outlook.com.au","70605243409",""," ",""
"Keith Stephenson Bobcat Hire","Bobcat","Rosewood","QLD","4340","0423 034 362","raymondstephenson@bigpond.com","57022761798","","Keith","Stephenson"
"Roger Winton Electrical","Electricians","Rosewood","QLD","4340","0438 001 917","mirribandi@gmail.com","20330151924","","Roger","Winton"
"Scenic rim cabinets","Cabinet Making","GRANDCHESTER","QLD","4340","0408 710 983","beau@scenicrimcabinets.com.au","74515055241","","Beau","Mauger"
"Simon Allen Building","Cabinet Making","Rosewood","QLD","4340","0422 162 842","simonallencarpentry@gmail.com","78218860528","","SIMON","ALLEN"
"Thorpe Plumbing And Earthmoving","Excavation","Tallegalla","QLD","4340","0420 740 851","info@tpae.com.au","63228180639",""," ",""
