"business_trading_name","category","suburb","state","post_code","phone_number","email","ABN","logo","first_name","last_name"
"3DM Pty Ltd","Handyman","ASHGROVE","QLD","4060","0424 277 903","mike@3dm.net.au","68135429257",""," ",""
"A Briz Builder","Carports","35 Corona AVE, ASHGROVE","QLD","4060","0418 686 676","a.briz@bigpond.net.au","67009705033","","Peter","Baker"
"A.V.Landscapes","Retaining Walls","ASHGROVE","QLD","4060","0423 071 112","avlandscapesbrisbane@gmail.com","42877217637","","Andrew","Leonard"
"Brisbane Underpinning","Underpinning","Ashgrove","QLD","4060","0402 400 155","cmcswan@optusnet.com.au","32110338460","","Craig","McSWan"
"Brisbuilt Building & Renovations","Carpenters","Ashgrove","QLD","4060","0411 757 047","jim@brisbuiltbuilding.com","72183549615","","Jim","Carr"
"Budget Property Maintenance Brisbane","Roof Repairs","Ashgrove","QLD","4060","0419 130 542","budgetpm1@gmail.com","65079535464","","Carl","Yaxley"
"Built By RK","Carpenters","Ashgrove","QLD","4060","0413 695 730","ryankhino@gmail.com","14330778998","","Ryan","Kennedy"
"Churpat Building","Building","Brisbane","QLD","4060","0415 707 335","nick@churpatbuilding.com.au","66886215263",""," ",""
"CIS Property Development","Kitchen Renovation","Ashgrove","QLD","4060"," ","cisprop@aapt.net.au","84140800353",""," ",""
"Complete Seal Solutions","Cleaning","ASHGROVE","QLD","4060","0420 214 279","oscar@completeseal.com.au","45788219716",""," ",""
"My Garden Design","Landscaping & Gardening","Ashgrove","QLD","4060","0427 120 729","info@designbeautifulgardens.com","87194967847",""," ",""
"DE Willbuild","Renovation","Ashgrove","QLD","4060","0421 987 265","dewbuild@bigpond.com","27602649768",""," ",""
"Domayne Hire and Property Styling","Interior Designer","Brisbane","QLD","4060","0404 542 768","melinda.williams@au.domayne.com","22106678478",""," ",""
"Drainmasters Plumbing","General Maintenance","ASHGROVE","QLD","4060","0447 188 394","matty@drainmastersplumbing.com.au","74605392348",""," ",""
"Ezcapes","Landscaping & Gardening","Ashgrove","QLD","4060","0456 991 568","ezcapeslandscaping@gmail.com","69576151779","","Erik Lens Van","Rijn"
"Gerard Roche Electrical Pty Ltd","Electricians","Ashgrove","QLD","4060","0416 044 008","g.roche@gerardrocheelectrical.com.au","73109459001",""," ",""
