business_trading_name,category,suburb,state,post_code,phone_number,email,ABN,logo,first_name,last_name
ABC Electric services p/l,Handyman,"222 Henry Lawson DRV, Georges Hall",NSW,2198,0408 600 950,k.abc@optusnet.com.au,37137808989,, ,
A.J Hanna,Excavation,Georges Hall,NSW,2198,0450 528 600,anthonyjohn.hanna93@gmail.com,16478101468,,anthony,Hanna
AJ SHOTCRETE,Formwork,GEORGES HALL,NSW,2198,0406 683 350,alissconstruction17@gmail.com,70625634371,,Ahmad,Jawhar
AJ Sparks,Electricians,GEORGES HALL,NSW,2198,0413 892 604,ajoulianou1@gmail.com,72119576128,, ,
All Pool Excavations Pty Limited,Fencing,Georges Hall,NSW,2198,0432 057 213,"matt_white05@hotmail.com,gaggimegas@gmail.com",36124841550,, ,
Amio Render,Rendering,Georges Hall,NSW,2198,0412 364 380,amiorender@gmail.com,12952473323,,Rabih,Assaad
Emporium Glass,Mirrors,Georges Hall,NSW,2198,0451 774 579,ayesha.fayad@gmail.com,47453416274,, ,
Aqua pool interiors,Resurfacing,Georges Hall,NSW,2198, ,aquapoolinteriors@yahoo.com.au,45841761698,, ,
Art Attack Painting and Decorating,Painters,Georges Hall,NSW,2198,0414 649 991,ifluv@hotmail.com,56159755318,,Emad,Mariam
ASB GROUP PTY LTD,Air Conditioning,Georges Hall,NSW,2198,0432 710 196,,68162665518,, ,
Ashkarprojects,Fencing,GEORGES HALL,NSW,2198,0424 848 484,ashkarprojects@gmail.com,16636448087,,Sam,Ashkar
Bambil Developments,Handyman,Georges Hall,NSW,2198,0403 431 138,alfred@bambil.com.au,25620495534,, ,
Blind Crazy,Blinds,"13 Haig AVE, Georges Hall",NSW,2198, ,blindcrazymd@hotmail.com,36612264379,,Mirjana,Disibio
Brymer Constructions P/L,Building,Georges Hall,NSW,2198,0417 022 277,brymers@bigpond.net.au,17000730370,,Graig,Brymer
Bryn Cann Gardens,Garden Maintenance,Georges Hall,NSW,2198,0411 278 804,bryncanngardens@bigpond.com,85975729776,, ,
C & G Vatos Excavations,Earth Moving,Georges Hall,NSW,2198, ,ginavatos@optusnet.com.au,51105238855,, ,
C & H Bobcat Hire,Rubbish Removal,Georges Hall,NSW,2198,0408 832 820,,15334084176,, ,
C & H Cleaning Supplies Pty Ltd,Equipment Hire,Georges Hall,NSW,2198, ,,53072917456,, ,
CJ Sydney Plumbing Pty Ltd.,Plumbers,Georges Avenue,NSW,2198,0433 457 167,cjsydplumbing@gmail.com,55616309141,,Charles,Zaouk
CRC CONCRETING,,Georges Hall,NSW,2198, ,crc@tpg.com.au,72612279558,,Rob,Cicero
CRC Coatings Pty Ltd.,Rendering,Georges Hall,NSW,2198,0412 606 162,crccoatings@gmail.com,63607596967,, ,
DNA STONE,Paving,Georges Hall,NSW,2198, , info@dnastone.com.au,70101303129,,Tarif,Alrahil
Driveway and Concrete pressure Cleaning,Handyman,Georges Hall,NSW,2198,0410 715 757,tony_karalis@hotmail.com,73469522118,, ,
ELECOM/Electrical and Communication services,Lighting,Georges Hall,NSW,2198,0415 131 310,khalil_salameh@hotmail.com,67158617139,, ,
Exotic Construction,Building,Georges Hall,NSW,2198,0400 213 614,joeyounis@hotmail.com,77617180864,,Joe,Yunis
Expert Refrigeration & Air-Conditioning,Refrigeration,Georges Hall,NSW,2198,0416 242 315,expert.refrigeration@hotmail.com,53326405568,, ,
Eyder the Electrician,Data Cabling,Georges Hall,NSW,2198,0426 549 551,maoalegria@hotmail.com,74460804530,, ,
Fred Lawn Mowing,Garden Maintenance,Georges Hall,NSW,2198,0450 266 773,fred61@gmail.com,28002159702,, ,
GDA PLASTERING & GYPROCKING PTY LTD,Plastering & Gyprock,Georges Hall,NSW,2198,0401 406 804,gdagyprock@bigpond.com.au,33150008209,,David,Daoud
GLG Electrical Installations Pty Ltd,Electricians,Georges Hall,NSW,2198,0418 407 800,george@glg.net.au,76002901046,,George,
Gridline Constructions NSW Pty Ltd,Building,Georges Hall,NSW,2198,0424 155 424,gridlineconstructionsnsw@gmail.com,72103736394,,Ronnie,Hanna
HAYTCH PAVING,Paving,GEORGES HALL,NSW,2198,0473 377 200,haytchpaving@outlook.com,88419445198,,HASSan,SalEH
Infinity Kitchens - Kitchen Renovations,Kitchen,Georges Hall,NSW,2198,0426 646 647,infinitikitchens@gmail.com,58698858193,,Fred,Masri
Joeâ€™s handyman,Handyman,GEORGES HALL,NSW,2198,0410 328 154,joeshandyman000@gmail.com,68384799896,,Joe,Elmorr
Kevsplumbing services,Plumbers,Georges Hall,NSW,2198,4403189960,kevsplumbing@hotmail.com,19897365906,,Kevin,Hannouche
Lord of stone,Stonemasonry,GEORGES HALL,NSW,2198,0447 744 409,tony@lordofstone.com.au,38546407733,,Tony,Almkhel
Marcorp Projects Pty Ltd,Tilers,Georges Hall,NSW,2198,0414 776 979,marcorp.concrete@gmail.com,12848724322,,Marco,Fabrizio
MEEGA BOOM PUMP PTY LIMITED,Concreting,GEORGES HALL,NSW,2198,0478 151 515,nada@meega.com.au,23168354783,,Youssef & Nada,Taouk
Meega Boom Pump,Driveways,Georges Hall,NSW,2198,0478 667 667,elias@meega.com.au,23168354783,, ,
Metro Hot water,Hot Water Systems,Georges Hall,NSW,2198,0414 913 966,paulbartz@live.com,30490460803,, ,
Mr Tintastic,Window Tinting,Georges Hall,NSW,2198,0473 773 184,alantints@gmail.com,94052193876,,Alan,El-Dayri
Neukam & Sons,Painters,Georges Hall,NSW,2198,0435 162 240,painter@neukamandsons.com.au,20624219012,,Joey,Neukam
Oz Glass Pty Ltd,Glass & Glazing,GEORGES HALL,NSW,2198,0410 392 042,douhahababe@gmail.com,44600106634,, ,
Perfect Finish Painting and Decorating,Painters,Georges Hall,NSW,2198,0423 000 280,perfectfinish67@gmail.com,31815768098,,HasSan,Abdul-Sater
Prograde Concrete and Excavation,Concreting,Georges Hall,NSW,2198,0426 044 546,progradece@gmail.com,42909314319,,Sako,Atachparian
