business_trading_name,category,suburb,state,post_code,phone_number,email,ABN,logo,first_name,last_name
Shen Chi - Feng Shui,Interior Designer,Kambah,ACT,2902,0402 688 888,janene.laird@shenchi.com.au,80360348199,, ,
Sparks Electrical services,Electricians,Kambah Village,ACT,2902, ,sthompson@grapevine.net.au,32074880462,, ,
Steenbergen Painting,Painters,Kambah,ACT,2902,0431 134 990,joelsteenbergen1990@hotmail.com,60210199289,,Joel,Steenbergen
Tailormade interiors,Interior Decorating,"42 Sisken CRS, Kambah",NSW,2902, ,varsanyi@aapt.net.au,23460381821,, ,
Territory Constructions Pty. Ltd.,Excavation,Kambah,ACT,2902,0419 262 876,noemail@hipages.com.au,14096083297,, ,
The Sharpest Tool,Building,Kambah,ACT,2902, ,daniel@thesharpesttool.net.au,27160104843,,Daniel,Mclaughlin
Totally Green Cleaning Solutions,Carpet & Upholstery Cleaning,Kambah,ACT,2902,0412 299 284,totallygreenservices@gmail.com,57481404799,, ,
Towner Group,Concreting,Kambah,ACT,2902,0438 288 938,robbie@towner.com.au,36143790701,,Robbie,Urbaniak
Towner Group Pty Ltd,Building,KAMBAH,ACT,2902,0404 961 139,daniel@towner.com.au,36143790701,, ,
TRISKELL PAintiNG & DECORATING PTY LTD,Painters,Kambah,ACT,2902,0413 108 969,liam.mckahey@gmail.com,43149108878,,Liam,Mckahey
WCM Landscapes,Landscaping & Gardening,Kambah,ACT,2902,0414 865 220,wcurtismartin@outlook.com.au,32391175693,, ,
Will Cameron Plumbing,Plumbers,Kambah,ACT,2902, ,will_cameron@hotmail.com,88141726276,, ,
